seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.002,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,0.0,0.0,0.0
0.004,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,44.0,0.0,0.0
0.006,1650.8060576453345,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,44.0,0.0,0.0
0.008,1657.2545188080117,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,1647.581827063996,44.0,0.0,0.0
0.01,1654.030288226673,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,44.0,0.0,0.0
0.012,1650.8060576453345,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,44.0,0.0,0.0
0.014,1650.8060576453345,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,1663.7029799706886,44.0,0.0,0.0
0.016,1647.581827063996,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,1670.1514411333656,44.0,0.0,0.0
0.018,1650.8060576453345,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,44.0,0.0,0.0
0.02,1654.030288226673,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,44.0,0.0,0.0
0.022,1654.030288226673,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,1634.6849047386418,44.0,0.0,0.0
0.024,1654.030288226673,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,1599.2183683439177,44.0,0.0,0.0
0.026,1650.8060576453345,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,1589.545676599902,44.0,0.0,0.0
0.028,1644.3575964826573,1405.764533463605,1405.764533463605,1405.764533463605,1405.764533463605,1405.764533463605,164.56,107.52,97.85
0.03,1650.8060576453345,1457.3522227650217,1457.3522227650217,1457.3522227650217,1457.3522227650217,1457.3522227650217,164.56,107.52,97.85
0.032,1663.7029799706886,1547.630679042501,1547.630679042501,1547.630679042501,1547.630679042501,1547.630679042501,164.56,107.52,97.85
