seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.002,1650.8060576453345,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,1676.5999022960427,154.85,102.54,104.0
0.004,1654.030288226673,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,1650.8060576453345,154.85,102.54,104.0
0.006,1657.2545188080117,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,1615.3395212506105,154.85,102.54,104.0
0.008,1654.030288226673,1573.4245236932093,1573.4245236932093,1573.4245236932093,1573.4245236932093,1573.4245236932093,154.85,102.54,104.0
0.01,1650.8060576453345,1554.079140205178,1554.079140205178,1554.079140205178,1554.079140205178,1554.079140205178,154.85,102.54,104.0
0.012,1650.8060576453345,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,1570.200293111871,154.85,102.54,104.0
0.014,1654.030288226673,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,1625.0122129946262,154.85,102.54,104.0
0.016,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,154.85,102.54,104.0
0.018,1650.8060576453345,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,1644.3575964826573,154.85,102.54,104.0
0.02,1647.581827063996,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,1631.4606741573032,154.85,102.54,104.0
0.022,1647.581827063996,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,1641.133365901319,154.85,102.54,104.0
0.024,1650.8060576453345,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,1654.030288226673,154.85,102.54,104.0
0.026,1650.8060576453345,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,1666.927210552027,154.85,102.54,104.0
0.028,1650.8060576453345,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,1686.2725940400583,155.74,98.44,94.63
