seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
0.002,1576.648754,1557.303371,1557.303371,1557.303371,1557.303371,1557.303371,58.89,126.56,18.53
0.004,1608.89106,1683.048363,1683.048363,1683.048363,1683.048363,1683.048363,58.89,126.56,18.53
0.006,1647.581827,1970.004885,1970.004885,1970.004885,1970.004885,1970.004885,58.89,126.56,18.53
0.008,1699.169516,1576.648754,1576.648754,1576.648754,1576.648754,1576.648754,58.89,126.56,18.53
0.01,1679.824133,1570.200293,1570.200293,1570.200293,1570.200293,1570.200293,58.89,126.56,18.53
0.012,1647.581827,1757.205667,1757.205667,1757.205667,1757.205667,1757.205667,58.89,126.56,18.53
0.014,1654.030288,1844.259893,1844.259893,1844.259893,1844.259893,1844.259893,58.89,126.56,18.53
0.016,1660.478749,1312.261847,1312.261847,1312.261847,1312.261847,1312.261847,58.89,126.56,18.53
0.018,1660.478749,1847.484123,1847.484123,1847.484123,1847.484123,1847.484123,58.89,126.56,18.53
0.02,1663.70298,2098.974108,2098.974108,2098.974108,2098.974108,2098.974108,58.89,126.56,18.53
0.022,1686.272594,1999.02296,1999.02296,1999.02296,1999.02296,1999.02296,58.89,126.56,18.53
0.024,1679.824133,1805.569126,1805.569126,1805.569126,1805.569126,1805.569126,58.89,126.56,18.53
0.026,1683.048363,1373.522228,1373.522228,1373.522228,1373.522228,1373.522228,58.89,126.56,18.53
0.028,1621.787982,1473.473376,1473.473376,1473.473376,1473.473376,1473.473376,45.41,91.99,18.09
0.03,1637.909135,867.3180264,867.3180264,867.3180264,867.3180264,867.3180264,45.41,91.99,18.09
0.032,1666.927211,1034.978017,1034.978017,1034.978017,1034.978017,1034.978017,45.41,91.99,18.09
0.034,1618.563752,1331.60723,1331.60723,1331.60723,1331.60723,1331.60723,45.41,91.99,18.09
0.036,1612.115291,1650.806058,1650.806058,1650.806058,1650.806058,1650.806058,45.41,91.99,18.09
0.038,1621.787982,1670.151441,1670.151441,1670.151441,1670.151441,1670.151441,45.41,91.99,18.09
0.04,1634.684905,1621.787982,1621.787982,1621.787982,1621.787982,1621.787982,45.41,91.99,18.09
0.042,1621.787982,1244.553004,1244.553004,1244.553004,1244.553004,1244.553004,45.41,91.99,18.09
0.044,1660.478749,1392.867611,1392.867611,1392.867611,1392.867611,1392.867611,45.41,91.99,18.09
0.046,1718.5149,1973.229116,1973.229116,1973.229116,1973.229116,1973.229116,45.41,91.99,18.09
0.048,1647.581827,2011.919883,2011.919883,2011.919883,2011.919883,2011.919883,45.41,91.99,18.09
0.05,1612.115291,2150.561798,2150.561798,2150.561798,2150.561798,2150.561798,45.41,91.99,18.09
0.052,1625.012213,2495.55447,2495.55447,2495.55447,2495.55447,2495.55447,45.41,91.99,18.09
0.054,1654.030288,1489.594529,1489.594529,1489.594529,1489.594529,1489.594529,0,0,0
0.056,1670.151441,1650.806058,1650.806058,1650.806058,1650.806058,1650.806058,0,0,0
0.058,1657.254519,1312.261847,1312.261847,1312.261847,1312.261847,1312.261847,0,0,0
0.06,1660.478749,1460.576453,1460.576453,1460.576453,1460.576453,1460.576453,0,0,0
0.062,1666.927211,1531.509526,1531.509526,1531.509526,1531.509526,1531.509526,0,0,0
0.064,1673.375672,1766.878359,1766.878359,1766.878359,1766.878359,1766.878359,0,0,0
0.066,1712.066439,1608.89106,1608.89106,1608.89106,1608.89106,1608.89106,0,0,0
0.068,1644.357596,1147.826087,1147.826087,1147.826087,1147.826087,1147.826087,0,0,0
0.07,1595.994138,1573.424524,1573.424524,1573.424524,1573.424524,1573.424524,0,0,0
0.072,1602.442599,2253.737176,2253.737176,2253.737176,2253.737176,2253.737176,0,0,0
0.074,1612.115291,2005.471422,2005.471422,2005.471422,2005.471422,2005.471422,0,0,0
0.076,1670.151441,1957.107963,1957.107963,1957.107963,1957.107963,1957.107963,0,0,0
0.078,1666.927211,1186.516854,1186.516854,1186.516854,1186.516854,1186.516854,0,0,0
0.08,1650.806058,1192.965315,1192.965315,1192.965315,1192.965315,1192.965315,12.79,10.84,16.99
0.082,1654.030288,1563.751832,1563.751832,1563.751832,1563.751832,1563.751832,12.79,10.84,16.99
0.084,1657.254519,2479.433317,2479.433317,2479.433317,2479.433317,2479.433317,12.79,10.84,16.99
0.086,1679.824133,2311.773327,2311.773327,2311.773327,2311.773327,2311.773327,12.79,10.84,16.99
0.088,1637.909135,954.3722521,954.3722521,954.3722521,954.3722521,954.3722521,12.79,10.84,16.99
0.09,1625.012213,380.4592086,380.4592086,380.4592086,380.4592086,380.4592086,12.79,10.84,16.99
0.092,1615.339521,1379.970689,1379.970689,1379.970689,1379.970689,1379.970689,12.79,10.84,16.99
0.094,1625.012213,1457.352223,1457.352223,1457.352223,1457.352223,1457.352223,12.79,10.84,16.99
0.096,1654.030288,1463.800684,1463.800684,1463.800684,1463.800684,1463.800684,12.79,10.84,16.99
0.098,1663.70298,1608.89106,1608.89106,1608.89106,1608.89106,1608.89106,12.79,10.84,16.99
